referee,ref_total_diff,ref_penalty_rate,ref_home_bias,ref_home_win_pct
Gerard Sutton,0.23,11.0,5.0,1
Todd Smith,-2.77,6.0,-2.0,1
Grant Atkins,-0.77,9.0,-1.0,0
Ashley Klein,-2.77,4.0,2.0,1
Grant Atkins,9.23,11.0,3.0,1
Grant Atkins,19.23,11.0,-1.0,1
Ashley Klein,-14.77,10.0,-4.0,1
Ashley Klein,-26.77,7.0,1.0,0
Grant Atkins,-7.833,12.0,-2.0,1
Ashley Klein,4.167,11.0,-3.0,1
Gerard Sutton,18.167,12.0,0.0,0
Liam Kennedy,-27.833,13.0,1.0,0
Adam Gee,-15.833,10.0,0.0,1
Todd Smith,2.167,9.0,3.0,0
Peter Gough,8.167,14.0,4.0,1
Wyatt Raymond,28.167,8.0,0.0,1
Gerard Sutton,-7.833,10.0,0.0,1
Adam Gee,6.167,9.0,1.0,1
Todd Smith,24.167,11.0,5.0,0
Ashley Klein,3.167,7.0,-1.0,0
Liam Kennedy,2.167,14.0,0.0,0
Wyatt Raymond,8.167,10.0,-2.0,1
Grant Atkins,-7.833,14.0,2.0,0
Peter Gough,18.167,10.0,0.0,1
Adam Gee,8.167,14.0,-2.0,1
Ashley Klein,-25.833,6.0,2.0,1
Todd Smith,-3.833,10.0,-4.0,1
Gerard Sutton,-6.833,11.0,1.0,1
Peter Gough,2.167,16.0,2.0,0
Liam Kennedy,-13.833,18.0,-2.0,1
Wyatt Raymond,-21.833,11.0,3.0,0
Grant Atkins,6.167,14.0,6.0,1
